Date,RM,RF,Year,Month
2009-03-06,0.003543086,0,2009,3
2009-03-05,0.02109032,0,2009,3
2009-03-04,0.023916994,0,2009,3
2009-03-03,0.00214875,0,2009,3
2009-03-02,-0.028816256,0,2009,3
2009-02-27,0.008540331,0,2009,2
2009-02-26,0.005523239,0,2009,2
2009-02-25,0.014347047,0,2009,2
2009-02-24,-0.010630268,0,2009,2
2009-02-23,0.009204542,0,2009,2
2009-02-20,-0.020298662,0,2009,2
2009-02-19,0.006780234,0,2009,2
2009-02-18,0.001467124,0,2009,2
2009-02-17,-0.021667255,0,2009,2
2009-02-16,-0.000270005,0,2009,2
2009-02-13,0.028228425,0,2009,2
2009-02-12,-0.023936013,0,2009,2
2009-02-11,0.011013897,0,2009,2
2009-02-10,0.007010651,0,2009,2
2009-02-09,0.005220017,0,2009,2
2009-02-06,0.024752192,0,2009,2
2009-02-05,-0.006086602,0,2009,2
2009-02-04,0.00392425,0,2009,2
2009-02-03,0.02648604,0,2009,2
2009-02-02,0.002827233,0,2009,2
2009-01-21,0.001263373,0,2009,1
2009-01-20,-0.02843069,0,2009,1
2009-01-19,0.002999747,0,2009,1
2009-01-16,0.007621327,0,2009,1
2009-01-15,-0.044388219,0,2009,1
2009-01-14,-0.002402722,0,2009,1
2009-01-13,0.017616022,0,2009,1
2009-01-12,-0.010846729,0,2009,1
2009-01-09,-0.007286493,0,2009,1
2009-01-08,-0.05303935,0,2009,1
2009-01-07,0.013238113,0,2009,1
2009-01-06,0.00616179,0,2009,1
2009-01-05,0.023324955,0,2009,1
2008-12-31,0.000475045,0,2008,12
2008-12-30,0.039147132,0,2008,12
2008-12-29,-0.002015783,0,2008,12
2008-12-26,0.002635127,0,2008,12
2008-12-25,-0.002179472,0,2008,12
2008-12-24,0.003910701,0,2008,12
2008-12-23,-0.028591965,0,2008,12
2008-12-22,-0.033865017,0,2008,12
2008-12-19,-6.18E-05,0,2008,12
2008-12-18,0.010066652,0,2008,12
2008-12-17,0.006742634,0,2008,12
2008-12-16,0.000687081,0,2008,12
2008-12-15,0.029556353,0,2008,12
2008-12-12,-0.037439025,0,2008,12
2008-12-11,-0.000708326,0,2008,12
2008-12-10,0.041632943,0,2008,12
2008-12-09,0.012296501,0,2008,12
2008-12-08,0.045741254,0,2008,12
2008-12-05,-0.007024743,0,2008,12
2008-12-04,-0.01214229,0,2008,12
2008-12-03,-0.011411574,0,2008,12
2008-12-02,-0.035731438,0,2008,12
2008-12-01,0.012989604,0,2008,12
2008-11-28,0.001513331,0,2008,11
2008-11-27,0.042593286,0,2008,11
2008-11-26,0.001244583,0,2008,11
2008-11-25,0.025465444,0,2008,11
2008-11-24,-0.002531706,0,2008,11
2008-11-21,0.019846305,0,2008,11
2008-11-20,-0.045321177,0,2008,11
2008-11-19,-0.00489875,0,2008,11
2008-11-18,-0.030321186,0,2008,11
2008-11-17,-0.002897119,0,2008,11
2008-11-14,0.003350737,0,2008,11
2008-11-13,-0.038508787,0,2008,11
