Date,Open,High,Low,Close,Volume,Adj Close
2005-01-11,44.44,44.71,44.16,44.35,35831600,30.44
2005-01-10,43.98,44.90,43.98,44.62,38507300,30.63
2005-01-07,43.98,44.07,43.70,43.98,47734900,30.19
2005-01-06,44.25,44.53,44.07,44.16,47627000,30.32
2005-01-05,44.90,44.90,44.62,44.62,41508700,30.63
2005-01-04,46.00,46.46,45.63,45.63,30389900,31.33
2005-01-03,46.92,47.38,46.46,46.92,28506400,32.21
2004-12-31,46.46,47.38,46.46,46.46,41457400,31.90
2004-12-30,46.46,46.92,46.46,46.46,46434000,31.90
2004-12-29,46.46,46.92,46.00,46.46,44143500,31.90
2004-12-28,45.91,46.46,45.91,46.00,28814700,31.58
2004-12-27,46.00,46.00,45.63,45.91,7700800,31.52
2004-12-24,46.00,46.46,45.82,46.00,23865300,31.58
2004-12-23,45.54,46.00,45.45,46.00,38249000,31.58
2004-12-22,45.63,46.46,45.54,45.82,88637700,31.45
2004-12-21,45.73,45.91,45.36,45.36,51971600,31.14
2004-12-20,45.08,46.00,45.08,46.00,55615500,31.58
2004-12-17,45.91,46.46,45.82,45.82,39054200,31.45
2004-12-16,45.82,46.00,45.45,46.00,53608900,31.58
2004-12-15,44.53,46.00,44.44,45.82,78984400,31.45
2004-12-14,44.16,44.35,43.89,44.25,34730000,30.38
2004-12-13,43.43,44.81,43.06,43.79,60935300,30.06
2004-12-10,43.89,44.35,43.24,44.35,74127900,30.44
2004-12-09,44.25,44.62,43.70,44.35,57864500,30.44
2004-12-08,45.08,45.08,44.53,44.90,43581100,30.82
2004-12-07,44.90,45.36,44.53,45.27,63070300,31.08
2004-12-06,44.53,45.08,44.25,44.99,52491700,30.89
2004-12-03,44.71,45.08,44.44,44.99,66759100,30.89
2004-12-02,43.52,44.16,43.24,44.16,59154800,30.32
2004-12-01,42.60,42.97,42.51,42.69,43465100,29.31
2004-11-30,43.61,43.61,42.60,43.52,84934900,29.88
2004-11-29,43.24,43.89,42.97,43.15,40357600,29.62
2004-11-26,44.62,45.45,42.78,43.43,38658400,29.81
2004-11-25,45.17,45.27,44.44,44.44,40661700,30.51
2004-11-24,44.53,45.36,44.25,44.99,42662800,30.89
2004-11-23,44.53,44.81,43.70,44.53,53212500,30.57
2004-11-22,45.08,45.45,44.35,44.35,67643100,30.44
2004-11-19,46.46,46.92,45.91,46.46,86409300,31.90
2004-11-18,46.00,46.92,45.82,46.46,124226200,31.90
2004-11-17,44.44,45.73,44.25,45.73,133605600,31.39
2004-11-16,43.98,44.62,43.89,44.53,75551700,30.57
2004-11-15,44.07,44.35,43.70,43.70,50827600,30.00
2004-11-12,42.78,43.89,42.78,43.24,36347700,29.69
2004-11-11,43.43,43.70,42.51,42.60,55569400,29.24
2004-11-10,43.98,44.16,43.79,44.16,74539200,30.32
2004-11-09,43.89,44.07,43.70,43.98,57896200,30.19
2004-11-08,44.16,44.16,43.61,44.07,50279200,30.25
2004-11-05,44.16,44.62,43.52,43.89,115926700,30.13
2004-11-04,43.33,44.07,42.69,43.70,158063600,30.00
2004-11-03,41.86,43.24,41.86,43.15,156909100,29.62
2004-11-02,40.85,41.59,40.67,41.40,83518200,28.42
2004-11-01,40.57,40.85,40.02,40.39,58051600,27.73
2004-10-29,40.02,40.48,39.84,40.30,66581300,27.66
2004-10-28,39.65,40.21,39.38,39.56,93983900,27.16
2004-10-27,38.64,38.83,38.00,38.55,38731700,26.46
2004-10-26,39.29,39.29,38.83,38.83,33741100,26.65
2004-10-25,39.75,39.75,39.75,39.75,000,27.29
2004-10-22,40.48,40.48,39.75,39.75,43614500,27.29
2004-10-21,39.10,40.02,39.10,39.75,39858600,27.29
2004-10-20,39.56,39.84,39.38,39.38,42076100,27.03
2004-10-19,39.29,39.75,39.19,39.56,33018600,27.16
2004-10-18,39.29,39.38,38.83,38.83,23227000,26.65
2004-10-15,39.10,39.29,38.83,39.10,38469800,26.84
2004-10-14,39.10,39.65,38.92,39.29,43755600,26.97
2004-10-13,39.38,39.47,39.10,39.19,29142500,26.91
2004-10-12,39.38,39.75,39.19,39.19,50498800,26.91
2004-10-11,39.38,39.75,39.19,39.38,35646800,27.03
2004-10-08,40.21,40.57,39.47,39.84,90409200,27.35
2004-10-07,41.68,41.68,40.57,41.40,43715000,28.42
2004-10-06,41.68,41.86,40.94,41.40,46896300,28.42
2004-10-05,41.86,41.86,41.49,41.68,43372900,28.61
2004-10-04,41.40,41.86,41.31,41.86,79380500,28.74
